time_ms,chat_message
626804,?
627181,?
627199,와 이새기머지?
627262,?
627483,?
627570,오이 ㅇㅈ
627774,?
627804,?
627844,?
627906,저거 맛잇음
627968,?
627991,???
628494,?
628587,?
628690,생굴먹다가 노로바이러스 한5번 걸렷다 ㅅㅂ 존나싫어
628797,저걸 몰라
629061,?
629201,?
629287,탕탕이
629409,이걸몰라?
629535,?
629925,?
629972,낙지 존맛
629973,탕탕이는 인정이지
630023,서브웨이 오이샌드위치 드셔보셨나요
630138,?
630225,???
630285,산낙지
630287,????
630429,저거 맛있어
630430,???
630543,그럼 나중에 냄새나면 힘들어하겠네
630629,????
630918,??
631023,한국인 맞음?
631259,탕탕해버리고싶내
631674,?
