time_ms,chat_message
1780571177596,솔직히 검색해서도 나올 얘기 함
1780571177930,그래서 청소도 안배우고..
1780571179798,지구는 둥글단다 룩삼아
1780571183715,룩하~
1780571183918,돈주면서 하면 ㅇㅈ
1780571184164,바뀔 놈들은 행동부터 하지
1780571184659,힌양대 선임 1패
1780571185300,그냥 남의말 듣기싫다는거 아니냐
1780571188350,스스로 깨달아야하는데 그걸 너무 쉽게 알려줌
1780571190081,자기개발보단 진짜 도움주는 책들이 있는데
1780571196959,난 아직도 발전숏츠나오면 발작일으켜
1780571201454,근데 그거 다 운이야
1780571201955,오타니?
1780571203601,난 모르겠다 ㄹㅇ
1780571204931,그건 재능임 거기서도 쏙쏙빼줌마하는거임
1780571206458,그 스윙스 자기암시 같은거임
1780571208413,신념의 영역이지
1780571209441,똑같이 다시하라하면 못할수도잇음
1780571213582,시크릿같은거?
1780571215360,하지만 공감이 전혀 되지않음
1780571217792,성공이 노력 능력 맞는데 운도 있어야되서 의미 없음
1780571218089,뭔가 배우고싶으면 알아서 들어오더라구요
1780571218226,아니야 그냥 당연한 소리 하는거임
1780571219763,나는 돈까스야
